"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"12/15/2019 4 p.m. EST",24751,23945,20242,-2751
CAL,"12/15/2019 5 p.m. EST",25004,24027,20185,-2981
CAL,"12/15/2019 6 p.m. EST",25442,24709,18901,-3575
CAL,"12/15/2019 7 p.m. EST",26561,25896,16695,-5585
CAL,"12/15/2019 8 p.m. EST",29433,28543,18072,-7730
CAL,"12/15/2019 9 p.m. EST",33141,32196,18396,-9791
CAL,"12/15/2019 10 p.m. EST",33786,32813,18545,-10443
CAL,"12/15/2019 11 p.m. EST",33708,32498,18515,-10305
CAL,"12/16/2019 12 a.m. EST",33226,31904,17984,-10007
CAL,"12/16/2019 1 a.m. EST",32043,30753,17201,-9844
CAL,"12/16/2019 2 a.m. EST",29874,28900,16337,-9247
CAL,"12/16/2019 3 a.m. EST",27751,26936,15328,-8808
CAL,"12/16/2019 4 a.m. EST",26474,25336,14551,-8100
CAL,"12/16/2019 5 a.m. EST",25660,24566,14212,-7932
CAL,"12/16/2019 6 a.m. EST",25220,24122,14119,-7607
CAL,"12/16/2019 7 a.m. EST",25295,24238,14548,-7493
CAL,"12/16/2019 8 a.m. EST",26189,25163,15397,-7474
CAL,"12/16/2019 9 a.m. EST",28454,27352,16891,-8066
CAL,"12/16/2019 10 a.m. EST",31858,30586,18705,-8885
CAL,"12/16/2019 11 a.m. EST",33407,32100,21316,-9041
CAL,"12/16/2019 12 p.m. EST",32248,31518,22151,-7128
CAL,"12/16/2019 1 p.m. EST",30886,30484,22421,-5826
CAL,"12/16/2019 2 p.m. EST",29728,29490,22034,-5078
CAL,"12/16/2019 3 p.m. EST",28717,28794,22059,-4044
